Reward Points,Beloningspunten
Reward Points Transactions,Transacties met beloningspunten
Website,Website
Balance,Balans
Currency Amount,Bedrag in valuta
Expiration Date,Vervaldatum
Unlimited (functionality is disabled),Onbeperkt (functionaliteit is uitgeschakeld)
Unlimited,Onbeperkt
Update Reward Points Balance,Bijwerken beloningspunten balans
Store,Winkel
Update Points,Punten bijwerken
It is possible to use a negative variable when subtracting points.,Het is mogelijk een negatieve waarde te gebruiken bij het aftrekken van punten.
New Expiration Period,Nieuwe vervaldatum
Send Notification,Notificatie verzenden
Comment for Customer,Opmerking voor klant
0 - remains unchanged.,0 - blijft onveranderd.
Leave empty for the set unlimited expiration date.,Laat leeg voor de ingestelde onbeperkte vervaldatum.
For reference:,Ter referentie:
"The ""Default Expiration Period"" is %1 days.","De ""Standaard Vervaldatum"" is %1 dagen."
Notifications are  sent only in case of the points balance changes.,Notificaties worden alleen verzonden bij wijzigingen in het punten saldo.
Customers' Balances,Balansen van klanten
Points Amount,Punten bedrag
Total,Totaal
Apply Reward Points. Customer balance is %1. Points can be applied for: %2.,Beloningspunten toepassen. Klantsaldo is %1. Punten kunnen worden toegepast op: %2.
(max %1 points),(max %1 punten)
Apply the rule only to cart items matching the following conditions (leave blank for all items).,De regel alleen toepassen op winkelwagenitems die overeenkomen met de volgende voorwaarden (leeg laten voor alle items).
If the action conditions are empty - the price will be calculated from the cart subtotal with discount.,"Indien de actievoorwaarden leeg zijn, wordt de prijs berekend op basis van het winkelwagentotaal met korting."
If the action conditions exist and include the valid items - the amount will be calculated using the valid items' price and qty.,"Als de actievoorwaarden bestaan en de geldige items bevatten, wordt het bedrag berekend op basis van de prijs en de hoeveelheid van de geldige items."
If the action conditions exist and don't include the valid items  - the rule will be ignored.,"Als de actievoorwaarden bestaan en de geldige items niet bevatten, wordt de regel genegeerd."
Apply To,Toepassen op
Labels,Labels
Store View Specific Labels,Labels specifiek voor winkelweergaven
Expiration date is %1.,Vervaldatum is %1.
%1 - Reward Points Actions,%1 - Acties met beloningspunten
Reward Points Actions,Acties met beloningspunten
Marketing,Marketing
Points Transactions,Punten transacties
You have deleted the rule.,Je hebt de regel verwijderd.
"Sorry, the rule can't be deleted. Please, review the log and try again.","Sorry, de regel kan niet worden verwijderd. Bekijk het logboek en probeer opnieuw."
"Sorry, it is impossible to find a rule to delete","Sorry, het is onmogelijk om een regel te vinden om te verwijderen."
Edit Rule,Bewerk regel
New Rule,Nieuwe regel
New Reward Points Rule,Nieuwe regel voor beloningspunten
Reward Points Rules,Regels voor beloningspunten
"Please, correct the sent data.","Corrigeer de verzonden gegevens, alsjeblieft."
The rule (ID: %1) is not exists,De regel (ID: %1) bestaat niet
Something went wrong while saving the rule.,Er is iets misgegaan bij het opslaan van de regel.
A total of %1 record(s) have been deleted.,Er is in totaal %1 record(s) verwijderd.
An error occurred while deleting record(s).,Er is een fout opgetreden bij het verwijderen van record(s).
A total of %1 Rule(s) have been disabled.,Er is in totaal %1 regel(s) uitgeschakeld.
An error occurred while disabling rule(s).,Er is een fout opgetreden bij het uitschakelen van regel(s).
A total of %1 Rule(s) have been enabled.,Er is in totaal %1 regel(s) ingeschakeld.
An error occurred while enabling Rule(s).,Er is een fout opgetreden bij het inschakelen van regel(s).
You have saved the rule.,Je hebt de regel opgeslagen.
Something went wrong while saving the rule data. Please review the error log.,Er is iets misgegaan bij het opslaan van de regelgegevens. Bekijk het foutenlogboek.
Access Denied,Toegang geweigerd
the points exchange rate has incorrect format.,De punten wisselkoers heeft een onjuist formaat.
Check the configuration settings.,Controleer de configuratie-instellingen.
Enter amount of Reward Points you want to use in this order,Voer het aantal beloningspunten in dat je in deze bestelling wilt gebruiken
Expired,Vervallen
%num days left,%num dagen over
%date (%num days left),%date (%num dagen over)
%date (Expired),%date (Vervallen)
Expiration date is %1,Vervaldatum is %1
Reward Points (%1),Beloningspunten (%1)
%1 Reward Points (%2),%1 Beloningspunten (%2)
We can't save the Cron expression.,We kunnen de Cron-uitdrukking niet opslaan.
You have %1,Je hebt %1
and,en
You can spend it to cover %1,Je kunt het gebruiken om %1 te dekken
