My extensions,Mijn extensies
Extensions Recommended for Your Store,Aanbevolen extensies voor jouw winkel
These are the extensions that will help you enhance your customers shopping experience and improve your store sales performance.,Dit zijn de extensies die je zullen helpen om de winkelervaring van je klanten te verbeteren en de prestaties van je winkelverkoop te verbeteren.
Review(s),Beoordeling(en)
Get it,Aanschaffen
Join our family of trusted partners,Word lid van onze familie van vertrouwde partners
We help partners give their businesses.,We helpen partners bij het verbeteren van hun bedrijven.
Become a Partner,Word een partner
My Purchased Extensions,Mijn Gekochte Extensies
"These are the MageWorx extensions you've purchased. If you enjoy using our products,
                      would you mind taking a moment to rate them? It won't take you more than a minute.","Dit zijn de MageWorx-extensies die je hebt gekocht. Als je graag gebruikmaakt van onze producten,
                      zou je dan een moment willen nemen om ze te beoordelen? Het kost je niet meer dan een minuut."
Update Info,Informatie bijwerken
 Version %1 available!, Versie %1 beschikbaar!
"Latest version""","Laatste versie"""
See Change Log,Bekijk de wijzigingslog
User Guide,Gebruikershandleiding
Rate it,Beoordeel het
"We are sorry you had a disappointing experience with MageWorx. Please, take a few minutes to share what went wrong & help us improve your experience.",Het spijt ons dat je een teleurstellende ervaring hebt gehad met MageWorx. Neem alsjeblieft een paar minuten de tijd om te delen wat er is misgegaan en help ons je ervaring te verbeteren.
Message,Bericht
Enter your email address so that we could get back to you ASAP.,Voer je e-mailadres in zodat we zo snel mogelijk contact met je kunnen opnemen.
Email,E-mail
"By clicking the send button, you agree to MageWorx","Door op de verzendknop te klikken, ga je akkoord met de privacy policy van MageWorx"
Privacy Policy,Privacybeleid
"Please, take a quick minute to leave us a review:",Neem alsjeblieft een minuut de tijd om een review achter te laten:
Review us on Magento Marketplace,Beoordeel ons op het Magento Marketplace
Click on the button to be taken directly to the review page.,Klik op de knop om direct naar de reviewpagina te gaan.
Thank you for your feedback!,Bedankt voor je feedback!
Send,Verzenden
My Extensions,Mijn Extensies
MageWorx Extensions,MageWorx Extensies
Settings,Instellingen
Notifications,Meldingen
System Information,Systeeminformatie
Main Settings,Hoofdinstellingen
Notify me about MageWorx Updates,Stuur mij meldingen over MageWorx updates
Notify me about MageWorx Hot offers and Exlcusive deals,Stuur mij meldingen over MageWorx speciale aanbiedingen en exclusieve deals
Extensions,Extensies
Enable Extension Info Autoload,Activeer automatisch laden van extensie-info
Memory limit,Geheugenlimiet
Max input vars,Max input vars
Post max size,Post maximale grootte
Max execution time,Maximale uitvoeringstijd
PHP version,PHP-versie
Path to php.ini,Pad naar php.ini
Server Time,Servertijd
Magento Mode,Magento Modus
Magento Path,Magento Pad
Permission Denied,Toegang geweigerd
PHP Information,PHP-informatie
Magento Information,Magento-informatie
