My extensions,Meine Erweiterungen
Extensions Recommended for Your Store,Empfohlene Erweiterungen für Ihren Shop
These are the extensions that will help you enhance your customers shopping experience and improve your store sales performance.,"Dies sind die Erweiterungen, die Ihnen helfen werden, das Einkaufserlebnis Ihrer Kunden zu verbessern und die Leistung Ihres Shops zu steigern."
Review(s),Bewertung(en)
Get it,Holen Sie sie sich
Join our family of trusted partners,Werden Sie Teil unserer Familie vertrauenswürdiger Partner
We help partners give their businesses.,"Wir unterstützen Partner dabei, ihre Unternehmen zu fördern."
Become a Partner,Werden Sie ein Partner
My Purchased Extensions,Meine gekauften Erweiterungen
"These are the MageWorx extensions you've purchased. If you enjoy using our products,
                      would you mind taking a moment to rate them? It won't take you more than a minute.","Dies sind die MageWorx-Erweiterungen, die Sie erworben haben. Wenn Ihnen unsere Produkte gefallen und Sie sie nutzen,
würden Sie sich einen Moment Zeit nehmen, um sie zu bewerten? Es wird Sie nicht mehr als eine Minute kosten."
Update Info,Info aktualisieren
 Version %1 available!,Version %1 verfügbar!
"Latest version""","Neueste Version"""
See Change Log,Änderungsprotokoll anzeigen
User Guide,Benutzerhandbuch
Rate it,Bewerten Sie es
"We are sorry you had a disappointing experience with MageWorx. Please, take a few minutes to share what went wrong & help us improve your experience.","Es tut uns leid, dass Sie eine enttäuschende Erfahrung mit MageWorx hatten. Bitte nehmen Sie sich ein paar Minuten Zeit, um mitzuteilen, was schief gelaufen ist, und helfen Sie uns, Ihre Erfahrung zu verbessern."
Message,Nachricht
Enter your email address so that we could get back to you ASAP.,"Geben Sie Ihre E-Mail-Adresse ein, damit wir so schnell wie möglich auf Sie zurückkommen können."
Email,E-Mail
"By clicking the send button, you agree to MageWorx",Durch Klicken auf die Senden-Taste stimmen Sie den Datenschutzbestimmungen von MageWorx zu.
Privacy Policy,Datenschutzrichtlinie
"Please, take a quick minute to leave us a review:","Bitte nehmen Sie sich einen kurzen Moment Zeit, um uns eine Bewertung zu hinterlassen:"
Review us on Magento Marketplace,Bewerten Sie uns auf dem Magento Marketplace
Click on the button to be taken directly to the review page.,"Klicken Sie auf die Schaltfläche, um direkt zur Bewertungsseite zu gelangen."
Thank you for your feedback!,Vielen Dank für Ihr Feedback!
Send,Senden
My Extensions,Meine Erweiterungen
MageWorx Extensions,MageWorx Erweiterungen
Settings,Einstellungen
Notifications,Benachrichtigungen
System Information,Systeminformation
Main Settings,Haupteinstellungen
Notify me about MageWorx Updates,Benachrichtigen Sie mich über MageWorx-Updates
Notify me about MageWorx Hot offers and Exlcusive deals,Benachrichtigen Sie mich über MageWorx-Hot-Angebote und exklusive Deals
Extensions,Erweiterungen
Enable Extension Info Autoload,Erweiterungsinformationen automatisch laden aktivieren
Memory limit,Speicherlimit
Max input vars,Maximale Eingabevariablen
Post max size,Maximale Postgröße
Max execution time,Maximale Ausführungszeit
PHP version,PHP-Version
Path to php.ini,Pfad zur php.ini
Server Time,Serverzeit
Magento Mode,Magento-Modus
Magento Path,Magento-Pfad
Permission Denied,Zugriff verweigert
PHP Information,PHP-Informationen
Magento Information,Magento-Informationen
